Province/State,Country/Region,Date,Metric,Count
"Tennessee","US",2020-03-10,Confirmed,7
"Virginia","US",2020-03-10,Confirmed,7
"Arizona","US",2020-03-10,Confirmed,6
"Indiana","US",2020-03-10,Confirmed,6
"Kentucky","US",2020-03-10,Confirmed,6
"District of Columbia","US",2020-03-10,Confirmed,5
"Quebec","Canada",2020-03-10,Confirmed,4
"Nevada","US",2020-03-10,Confirmed,4
"New Hampshire","US",2020-03-10,Confirmed,4
"Minnesota","US",2020-03-10,Confirmed,3
"Nebraska","US",2020-03-10,Confirmed,3
"Ohio","US",2020-03-10,Confirmed,3
"Rhode Island","US",2020-03-10,Confirmed,3
"Wisconsin","US",2020-03-10,Confirmed,3
"Connecticut","US",2020-03-10,Confirmed,2
"Hawaii","US",2020-03-10,Confirmed,2
"Oklahoma","US",2020-03-10,Confirmed,2
"Utah","US",2020-03-10,Confirmed,2
"Kansas","US",2020-03-10,Confirmed,1
"Louisiana","US",2020-03-10,Confirmed,1
"Missouri","US",2020-03-10,Confirmed,1
"Vermont","US",2020-03-10,Confirmed,1
"Alaska","US",2020-03-10,Confirmed,0
"Arkansas","US",2020-03-10,Confirmed,0
"Delaware","US",2020-03-10,Confirmed,0
"Idaho","US",2020-03-10,Confirmed,0
"Maine","US",2020-03-10,Confirmed,0
"Michigan","US",2020-03-10,Confirmed,0
"Mississippi","US",2020-03-10,Confirmed,0
"Montana","US",2020-03-10,Confirmed,0
"New Mexico","US",2020-03-10,Confirmed,0
"North Dakota","US",2020-03-10,Confirmed,0
"South Dakota","US",2020-03-10,Confirmed,0
"West Virginia","US",2020-03-10,Confirmed,0
"Wyoming","US",2020-03-10,Confirmed,0
"Washington","US",2020-03-11,Confirmed,366
"New York","US",2020-03-11,Confirmed,220
"California","US",2020-03-11,Confirmed,177
"Massachusetts","US",2020-03-11,Confirmed,95
"Diamond Princess","US",2020-03-11,Confirmed,46
"Ontario","Canada",2020-03-11,Confirmed,41
"British Columbia","Canada",2020-03-11,Confirmed,39
"Colorado","US",2020-03-11,Confirmed,34
"Florida","US",2020-03-11,Confirmed,28
"Illinois","US",2020-03-11,Confirmed,25
"Georgia","US",2020-03-11,Confirmed,23
"New Jersey","US",2020-03-11,Confirmed,23
"Texas","US",2020-03-11,Confirmed,21
"Alberta","Canada",2020-03-11,Confirmed,19
"Oregon","US",2020-03-11,Confirmed,19
"Pennsylvania","US",2020-03-11,Confirmed,16
"Iowa","US",2020-03-11,Confirmed,13
"Indiana","US",2020-03-11,Confirmed,11
"District of Columbia","US",2020-03-11,Confirmed,10
"South Carolina","US",2020-03-11,Confirmed,10
"Arizona","US",2020-03-11,Confirmed,9
"Maryland","US",2020-03-11,Confirmed,9
"Tennessee","US",2020-03-11,Confirmed,9
"Virginia","US",2020-03-11,Confirmed,9
"Quebec","Canada",2020-03-11,Confirmed,8
"Kentucky","US",2020-03-11,Confirmed,8
"South Dakota","US",2020-03-11,Confirmed,8
"Nevada","US",2020-03-11,Confirmed,7
"North Carolina","US",2020-03-11,Confirmed,7
"Louisiana","US",2020-03-11,Confirmed,6
"Wisconsin","US",2020-03-11,Confirmed,6
"Minnesota","US",2020-03-11,Confirmed,5
"Nebraska","US",2020-03-11,Confirmed,5
"New Hampshire","US",2020-03-11,Confirmed,5
"Rhode Island","US",2020-03-11,Confirmed,5
"Ohio","US",2020-03-11,Confirmed,4
"Connecticut","US",2020-03-11,Confirmed,3
"New Mexico","US",2020-03-11,Confirmed,3
"Utah","US",2020-03-11,Confirmed,3
"Hawaii","US",2020-03-11,Confirmed,2
"Michigan","US",2020-03-11,Confirmed,2
"Oklahoma","US",2020-03-11,Confirmed,2
"New Brunswick","Canada",2020-03-11,Confirmed,1
"Arkansas","US",2020-03-11,Confirmed,1
"Delaware","US",2020-03-11,Confirmed,1
"Kansas","US",2020-03-11,Confirmed,1
"Missouri","US",2020-03-11,Confirmed,1
"Montana","US",2020-03-11,Confirmed,1
"Vermont","US",2020-03-11,Confirmed,1
"Alaska","US",2020-03-11,Confirmed,0
"Idaho","US",2020-03-11,Confirmed,0
"Maine","US",2020-03-11,Confirmed,0
"Mississippi","US",2020-03-11,Confirmed,0
"North Dakota","US",2020-03-11,Confirmed,0
"West Virginia","US",2020-03-11,Confirmed,0
"Wyoming","US",2020-03-11,Confirmed,0
"Washington","US",2020-03-12,Confirmed,442
"New York","US",2020-03-12,Confirmed,328
"California","US",2020-03-12,Confirmed,221
"Massachusetts","US",2020-03-12,Confirmed,108
"British Columbia","Canada",2020-03-12,Confirmed,46
"Diamond Princess","US",2020-03-12,Confirmed,46
"Colorado","US",2020-03-12,Confirmed,45
"Ontario","Canada",2020-03-12,Confirmed,42
"Florida","US",2020-03-12,Confirmed,35
"Illinois","US",2020-03-12,Confirmed,32
"Georgia","US",2020-03-12,Confirmed,31
"New Jersey","US",2020-03-12,Confirmed,29
"Texas","US",2020-03-12,Confirmed,27
"Oregon","US",2020-03-12,Confirmed,24
"Pennsylvania","US",2020-03-12,Confirmed,22
"Alberta","Canada",2020-03-12,Confirmed,19
"Louisiana","US",2020-03-12,Confirmed,19
"Tennessee","US",2020-03-12,Confirmed,18
"Virginia","US",2020-03-12,Confirmed,17
"Iowa","US",2020-03-12,Confirmed,16
"North Carolina","US",2020-03-12,Confirmed,15
"Nevada","US",2020-03-12,Confirmed,14
"Indiana","US",2020-03-12,Confirmed,13
"Maryland","US",2020-03-12,Confirmed,12
"South Carolina","US",2020-03-12,Confirmed,12
"District of Columbia","US",2020-03-12,Confirmed,10
"Kentucky","US",2020-03-12,Confirmed,10
"Nebraska","US",2020-03-12,Confirmed,10
"Quebec","Canada",2020-03-12,Confirmed,9
"Arizona","US",2020-03-12,Confirmed,9
"Minnesota","US",2020-03-12,Confirmed,9
"South Dakota","US",2020-03-12,Confirmed,8
"Wisconsin","US",2020-03-12,Confirmed,8
"Arkansas","US",2020-03-12,Confirmed,6
"New Hampshire","US",2020-03-12,Confirmed,6
"Connecticut","US",2020-03-12,Confirmed,5
"New Mexico","US",2020-03-12,Confirmed,5
"Ohio","US",2020-03-12,Confirmed,5
"Rhode Island","US",2020-03-12,Confirmed,5
"Utah","US",2020-03-12,Confirmed,5
"Hawaii","US",2020-03-12,Confirmed,2
"Michigan","US",2020-03-12,Confirmed,2
"Oklahoma","US",2020-03-12,Confirmed,2
"Vermont","US",2020-03-12,Confirmed,2
"New Brunswick","Canada",2020-03-12,Confirmed,1
"Delaware","US",2020-03-12,Confirmed,1
"Kansas","US",2020-03-12,Confirmed,1
"Mississippi","US",2020-03-12,Confirmed,1
"Missouri","US",2020-03-12,Confirmed,1
"Montana","US",2020-03-12,Confirmed,1
"North Dakota","US",2020-03-12,Confirmed,1
"Wyoming","US",2020-03-12,Confirmed,1
"Alaska","US",2020-03-12,Confirmed,0
"Idaho","US",2020-03-12,Confirmed,0
"Maine","US",2020-03-12,Confirmed,0
"West Virginia","US",2020-03-12,Confirmed,0
"British Columbia","Canada",2020-03-13,Confirmed,64
"Ontario","Canada",2020-03-13,Confirmed,74
"Diamond Princess","US",2020-03-13,Confirmed,46
"New Brunswick","Canada",2020-03-13,Confirmed,1
"Quebec","Canada",2020-03-13,Confirmed,17
"Manitoba","Canada",2020-03-13,Confirmed,4
"Saskatchewan","Canada",2020-03-13,Confirmed,2
"Alabama","US",2020-03-13,Confirmed,5
"Alberta","Canada",2020-03-13,Confirmed,29
"Alaska","US",2020-03-13,Confirmed,1
"Arizona","US",2020-03-13,Confirmed,9
"Arkansas","US",2020-03-13,Confirmed,6
"California","US",2020-03-13,Confirmed,282
"Colorado","US",2020-03-13,Confirmed,49
"Connecticut","US",2020-03-13,Confirmed,11
"Delaware","US",2020-03-13,Confirmed,4
"District of Columbia","US",2020-03-13,Confirmed,10
"Florida","US",2020-03-13,Confirmed,50
"Georgia","US",2020-03-13,Confirmed,42
"Hawaii","US",2020-03-13,Confirmed,2
"Idaho","US",2020-03-13,Confirmed,1
"Illinois","US",2020-03-13,Confirmed,46
"Indiana","US",2020-03-13,Confirmed,13
"Iowa","US",2020-03-13,Confirmed,17
"Kansas","US",2020-03-13,Confirmed,5
"Kentucky","US",2020-03-13,Confirmed,14
"Louisiana","US",2020-03-13,Confirmed,36
"Maine","US",2020-03-13,Confirmed,1
"Maryland","US",2020-03-13,Confirmed,18
"Massachusetts","US",2020-03-13,Confirmed,123
"Michigan","US",2020-03-13,Confirmed,16
"Minnesota","US",2020-03-13,Confirmed,14
"Mississippi","US",2020-03-13,Confirmed,1
"Missouri","US",2020-03-13,Confirmed,2
"Montana","US",2020-03-13,Confirmed,1
"Nebraska","US",2020-03-13,Confirmed,13
"Nevada","US",2020-03-13,Confirmed,17
"New Hampshire","US",2020-03-13,Confirmed,6
"New Jersey","US",2020-03-13,Confirmed,29
"New Mexico","US",2020-03-13,Confirmed,10
"New York","US",2020-03-13,Confirmed,421
"North Carolina","US",2020-03-13,Confirmed,17
"North Dakota","US",2020-03-13,Confirmed,1
"Ohio","US",2020-03-13,Confirmed,13
"Oklahoma","US",2020-03-13,Confirmed,2
"Oregon","US",2020-03-13,Confirmed,30
"Pennsylvania","US",2020-03-13,Confirmed,41
"Rhode Island","US",2020-03-13,Confirmed,14
"South Carolina","US",2020-03-13,Confirmed,13
"South Dakota","US",2020-03-13,Confirmed,8
"Tennessee","US",2020-03-13,Confirmed,26
"Texas","US",2020-03-13,Confirmed,43
"Utah","US",2020-03-13,Confirmed,9
"Vermont","US",2020-03-13,Confirmed,2
"Virginia","US",2020-03-13,Confirmed,30
"Washington","US",2020-03-13,Confirmed,568
"West Virginia","US",2020-03-13,Confirmed,0
"Wisconsin","US",2020-03-13,Confirmed,19
"Wyoming","US",2020-03-13,Confirmed,1
"Washington","US",2020-03-14,Confirmed,572
"New York","US",2020-03-14,Confirmed,525
"California","US",2020-03-14,Confirmed,340
"Massachusetts","US",2020-03-14,Confirmed,138
"Colorado","US",2020-03-14,Confirmed,101
"Ontario","Canada",2020-03-14,Confirmed,79
"Louisiana","US",2020-03-14,Confirmed,77
"Florida","US",2020-03-14,Confirmed,76
"New Jersey","US",2020-03-14,Confirmed,69
"Georgia","US",2020-03-14,Confirmed,66
